textDisplay,likeCount,authorDisplayName,authorChannelUrl,authorChannelId,publishedAt,updatedAt
El gran Julio Velarde... hombre prudente y por demás extraordinariamente inteligente. Más de 20 años en su cargo y cada vez lo hace mejor.,0,@australeyne8864,http://www.youtube.com/@australeyne8864,UCSZiIE_ghz1pvFw_2LK40RQ,2024-10-10T20:04:26Z,2024-10-10T20:04:26Z
"Cuando palpo la moneda peruana, siento peso y confianza :)",0,@rolanyt6388,http://www.youtube.com/@rolanyt6388,UCPtY14ZQbwbT71TcRc-dnTg,2024-10-10T20:01:55Z,2024-10-10T20:01:55Z
Long life to the king Julio Velarde,0,@rolanyt6388,http://www.youtube.com/@rolanyt6388,UCPtY14ZQbwbT71TcRc-dnTg,2024-10-10T20:00:31Z,2024-10-10T20:00:31Z
"Velarde es realmente un pésimo banquero; pero para la mayoría de peruanos que no son versados en Economía ni tampoco tienen una verdadera educación financiera, Velarde es lo máximo.<br>A cada evento internacional en el que Velarde es invitado, este señor demuestra que no sabe ni dónde está parado y deja en ridículo al país. <br>Para que se den una idea, Velarde en cada exposición siempre hace lo que hizo el Gerente General de Sporting Cristal en Chile.<br>Aún recuerdo cuando Velarde, en un evento en Bruselas en 2023, no pudo explicar qué es el IPP (la inflación desde el punto de vista del productor) e insistía en &quot;corregir&quot; al moderador diciéndole que no es IPP, sino IPC (la inflación desde el punto de vista del consumidor; la inflación de toda la vida).<br>Vergüenza ajena que un banquero no sepa conceptos básicos.<br>Powell y Lagarde le dan mil vueltas a Velarde. Y eso que la francesa tampoco es una iluminada.",2,@RealTrader93,http://www.youtube.com/@RealTrader93,UCEryo8u6NKamRTGckZrT4VA,2024-10-10T19:55:10Z,2024-10-10T19:58:15Z
<b>GRACIAS DIOS POR DARLE SABIDURIA A JULIO VELARDE</b>,1,@angelfernandezrua4277,http://www.youtube.com/@angelfernandezrua4277,UCmBzoeJt5H256i_v7c_qTdQ,2024-10-10T19:51:31Z,2024-10-10T19:51:31Z
❤ 🇦🇷 🇵🇪 💪Estamos muy orgullosos de nuestro JULIO VELARDE! 🇦🇷  🇵🇪  💪❤,3,@50lucyta,http://www.youtube.com/@50lucyta,UCexp9wGtOlgi4MqsMUYEAyg,2024-10-10T19:50:57Z,2024-10-10T19:50:57Z
Todo lo que afirma dicho señor es falso - No hay inflación porque no sueltan dinero - se pueden imaginar que a muchos trabajadores les deben una deuda muy grande y no la pagan porque los precios subirían por que los extrabajadores comprarían lo que no lo tienen  este señor presidente del bcr - es un guardián del dinero - no suelta ni un sol - lo puso fujimori y no sale ni de palos porque no sube el sueldo promedio de 1500 nuevos soles - que es muy bajo - Todo lo que dice es pura teoría - la realidad es otra.!!!,1,@raulzaratearmas245,http://www.youtube.com/@raulzaratearmas245,UCLEcSBN8gL3tH7Tw54U0QnA,2024-10-10T19:46:35Z,2024-10-10T19:46:35Z
"Mi lord, me arrodillo ante ti, si me dices que te bese los pies, lo hago mil veces.",0,@jimmypalominopuma3242,http://www.youtube.com/@jimmypalominopuma3242,UCX4kG2f2mowgsn54O4gCm0Q,2024-10-10T19:37:07Z,2024-10-10T19:37:07Z
Agradezco mucho al señor Velarde por grandiosa forma de ejecutar sus propuestas y de manejar de forma magistral a su equipo.😊,0,@markcondori7911,http://www.youtube.com/@markcondori7911,UC-87HST8qUWJpTdFfcbZd-A,2024-10-10T19:22:21Z,2024-10-10T19:22:21Z
"Ya, pero para cuando Velarde Presidente?",0,@SweetSweet-w8x,http://www.youtube.com/@SweetSweet-w8x,UCjyPMl9TTuq33E6Sjxqn5ZQ,2024-10-10T19:19:08Z,2024-10-10T19:19:08Z
Si el mundo fuese justo nuestro julio tendría un novel de economía,0,@eberibanez4121,http://www.youtube.com/@eberibanez4121,UCK6rQL_2Dyeibf2rLMIQcJA,2024-10-10T18:57:59Z,2024-10-10T18:57:59Z
