authorDisplayName,authorChannelUrl,authorChannelId,channelId,videoId,textDisplay,parentId,canRate,likeCount,publishedAt,updatedAt
@Miparwo,http://www.youtube.com/@Miparwo,UC0YHuv6ow4gZmI13V46vcpg,{'value': 'UC0YHuv6ow4gZmI13V46vcpg'},RPcwUunWqhs,"Estuvo muy mal no arrinconarla porque ella nunca critica a los peronistas, que vivan insultando desde que abren la boca hasta que la cierran. Sus insultos no son &quot;violencia&quot;. Sólo lo que diga Milei es violencia.",UgyFdA0c1H4sVM0c7i54AaABAg,True,0,2024-10-11T01:19:54Z,2024-10-11T01:19:54Z
@RosanaManganare-iu3qw,http://www.youtube.com/@RosanaManganare-iu3qw,UCor2Tk91VOZ1xTso-0Wm2Mw,{'value': 'UCor2Tk91VOZ1xTso-0Wm2Mw'},RPcwUunWqhs,"Principio de revelación, proyectan lo que son",UgyDFrC1hwSHkSvdi5B4AaABAg,True,0,2024-10-11T01:18:18Z,2024-10-11T01:18:18Z
@EleonorMis,http://www.youtube.com/@EleonorMis,UC0dgGu89clbDkHWqbWz0oWA,{'value': 'UC0dgGu89clbDkHWqbWz0oWA'},RPcwUunWqhs,"Mariano, tengo 63 años y te sigo como mis hijos en casa. Cuando fue lo de Venezuela estuve siguiendote pegada al celular. Gracias por lo que haces. Saludos desde Tucumán.",UgxwPD7ZxcZxbFx8Q3l4AaABAg,True,53,2024-10-11T01:17:04Z,2024-10-11T01:17:04Z
@fernandez1330,http://www.youtube.com/@fernandez1330,UC0cCBIkxtfME6ngXPZqBDxA,{'value': 'UC0cCBIkxtfME6ngXPZqBDxA'},RPcwUunWqhs,"No se porque se cuestiona si es o no periodista, Jorge Rial de Chimentero de Intrusos, cagandose en la vida de los demas, por un &quot;sobre&quot; que le pasaban los kirchneristas pasó a ejecer periodista político y de ser un tipo pobre que buscaba trabajo en las radios, ahora tiene casa en Miami,le compró departamento a su otra hija viaja por todo el mundo, llegó a tener una bodega de vino  en Mendoza donde fabricaba vino poniendo la etiqueta de su hija Morena, no tiene autoridad moral ni trayectoria para criticar a los demás",UgxFf_dD0bXbvuAeUsl4AaABAg,True,0,2024-10-11T01:16:35Z,2024-10-11T01:16:35Z
@dskapuy,http://www.youtube.com/@dskapuy,UC8qAC9dpQW2L8R1eGH2hGMQ,{'value': 'UC8qAC9dpQW2L8R1eGH2hGMQ'},RPcwUunWqhs,"ESTUVISTE BRILLANTE PORQUE SOS BRILLANTEEE, MARIANITO, TE ABRAZO CON EL ALMA❤",UgzH5DNI5TyXi9S0zwJ4AaABAg,True,41,2024-10-11T01:14:41Z,2024-10-11T01:14:41Z
@OneCarLost_1,http://www.youtube.com/@OneCarLost_1,UC-_ih7PZanMA6Gsk5_eTzFA,{'value': 'UC-_ih7PZanMA6Gsk5_eTzFA'},RPcwUunWqhs,¿Han identificado ya a los zurdos agresores a Fran Fijap?<br>🙏Supongo que ingresarán a la cárcel y así obtener el único título académico que se merecen....<br>¡¡¡ EL DE DELINCUENTES !!!<br>😡,Ugy1qDbqsTaUIp5s2lJ4AaABAg,True,1,2024-10-11T01:14:18Z,2024-10-11T01:14:18Z
@Jano_93,http://www.youtube.com/@Jano_93,UCmDvnmVEMy_0a_3uUq1Eo9g,{'value': 'UCmDvnmVEMy_0a_3uUq1Eo9g'},RPcwUunWqhs,&quot;terminó humillada&quot; este pibe tiene 12 años,UgxOiyEGJQtpUroHB4V4AaABAg,True,0,2024-10-11T01:13:25Z,2024-10-11T01:13:25Z
@ominae1,http://www.youtube.com/@ominae1,UC6Ht2q-F0gRf8UdymZyGRFA,{'value': 'UC6Ht2q-F0gRf8UdymZyGRFA'},RPcwUunWqhs,"Periodista feminista llorando por el mercado... Me hace acordar a las futbolistas femeninas que piden ganar igual que los hombres...<br>Y hablan de violencia y los mensajes y blablabla, cuando desde la campaña, DESDE SIEMPRE mejor dicho los actos de violencia vienen del mismo lado, y quieren poner a la misa altura a los militantes o partidarios del gobierno de Milei...",Ugx0lS5K3kUWGW1olQd4AaABAg,True,0,2024-10-11T01:11:49Z,2024-10-11T01:20:27Z
@marianoillescas4629,http://www.youtube.com/@marianoillescas4629,UCyvpIY-4DgJLNVBDxstMYfw,{'value': 'UCyvpIY-4DgJLNVBDxstMYfw'},RPcwUunWqhs,"Vos no informas, no chequeas lo que decis, y decis boludeces",UgyJgXBHqZ95iUX1gzN4AaABAg,True,0,2024-10-11T01:11:18Z,2024-10-11T01:11:18Z
@ivanalas71,http://www.youtube.com/@ivanalas71,UCH3XXIBAhUH3THef9-p-42w,{'value': 'UCH3XXIBAhUH3THef9-p-42w'},RPcwUunWqhs,Fuerza Mariano!!!! 👏👏👏👏👏💯,UgxhOeVzwTgO1s48Djp4AaABAg,True,34,2024-10-11T01:11:08Z,2024-10-11T01:11:08Z
